,sigla,name,school,area,category,credits
0,ACO256E,Improvisación y Máscara,Actuación,,,10
1,ACO264E,Habilidades Comunicativas Orales,Actuación,,,10
2,ACO3023,Taller de Creación Escénica,Actuación,,,10
3,ACO4001,Performance y Artes Vivas,Actuación,,,10
4,ACO4004,"Teatrología: Teorías, Aplicaciones, Materialidades",Actuación,,,10
5,ACO4006,Tetralogía I: Estéticas de las Artes Escénicas,Actuación,,,10
6,ACT101A,Taller de Montaje: Teatro Dramático,Actuación,,,15
7,ACT101B,Taller de Montaje: Teatro Fragmentario,Actuación,,,15
8,ACT101C,Taller de Montaje: Teatro Épico y Narrativo,Actuación,,,15
9,ACT101E,Taller de Montaje: Cuerpo Extracotidiano,Actuación,,,15
10,ACT101F,Taller de Montaje: Teatro Clásico-Barroco,Actuación,,,15
11,ACT101H,Taller de Montaje: Prácticas Performativas y Multimedia,Actuación,,,15
12,ACT103A,Procesos Creativos del Cuerpo,Actuación,,,10
13,ACT103C,Cuerpo y Memoria,Actuación,,,10
14,ACT106B,Ejercicios de Escritura Teatral,Actuación,,,10
15,ACT106D,Taller de Dramaturgía,Actuación,,,10
16,ACT108B,Dirección: Imagen y Sonido,Actuación,,,10
17,ACT108C,Dirección: Laboratorio de Creación,Actuación,,,10
18,ACT109B,Escritura Crítica y Análisis Escénico,Actuación,,,10
19,ACT109D,Teorías Teatrales y de la Performance,Actuación,,,10
20,ACT111,Actuación I: Percepción Teatral,Actuación,,,10
21,ACT112,Voz I: Percepción,Actuación,,,5
22,ACT113,Movimiento I: Conciencia Corporal,Actuación,,,5
23,ACT114,Teatro Chileno,Actuación,,,10
24,ACT115,El Proceso de Creación Teatral,Actuación,,,10
25,ACT1291,Re-Conociendo la Emoción,Actuación,,,10
26,ACT1294,Laboratorio de Puesta en Escena para Lenguaje Audiovisual,Actuación,,,10
27,ACT1305,Actuación: Exploración y Acontecimiento,Actuación,,,10
28,ACT1307,Comunicación Expresiva: Conciencia Vocal y Corporal,Actuación,Artes,,10
29,ACT1309,Imaginarios para la Construcción del Teatro Chileno,Actuación,Artes,,10
30,ACT131,Actuación Iii: la Escena Moderna en el Siglo XX,Actuación,,,10
31,ACT1311,Mitos Clásicos y Creación de Relatos en la Dramaturgia,Actuación,Artes,,10
32,ACT1312,Performance Como Experiencia para la Transformación Social,Actuación,Artes,,10
33,ACT1313,Problemas de las Artes Escénicas Hoy,Actuación,Artes,,10
34,ACT1314,Teatro Aplicado,Actuación,Artes,,10
